state_name,shootings,state_population,bachelor_degree_precent,high_school_percent,asian,black,hispanic/latino,white,other,income_median_household,income_per_capita,poverty_percent
Alabama,104,4903185,22.6,83.1,1.3,26.7,4.1,66.2,2.3,43253,23680,18.6
Alaska,39,731545,27.5,91.6,6.1,3.9,6.8,61.9,23.2,70760,32651,9.9
Arizona,254,7278717,26.9,85.7,3.3,4.7,30.5,56.2,8.3,49774,25358,17.9
Arkansas,83,3017804,20.1,83.7,1.5,15.6,7,73.4,3.2,40768,22170,19.2
California,799,39512223,30.7,81.2,14.4,6.5,38.6,38.5,5.9,61094,29527,15.9
Colorado,195,5758736,37,90.2,3.1,4.5,21.2,69,4.7,58433,31109,13.2
Connecticut,21,3565287,36.5,89.2,4.5,11.5,15,68.8,2.8,69461,37892,10.2
Delaware,13,973764,28.9,87.7,3.8,22.2,8.9,63.7,3.3,59878,29819,11.7
District of Columbia,13,705749,52.4,88.4,4,49,10.4,35.8,3.4,65830,45290,18.6
Florida,350,21477737,26.4,86.1,2.8,16.8,24.1,55.8,2.6,46956,26236,16.3
Georgia,182,10617423,28,84.7,3.8,31.5,9.3,54.3,2.6,49179,25182,18.2
Hawaii,30,1415872,30.1,90.4,37.5,2.5,10.1,23,33.4,67402,29305,11.2
Idaho,42,1787065,25.1,88.8,1.4,0.8,12,82.8,4.2,46767,22568,15.5
Illinois,104,12671821,31.4,87.3,5.3,14.7,16.7,62.3,2.5,56797,29666,14.1
Indiana,95,6732219,23.2,87.2,2,9.6,6.6,80.3,2.4,48248,24635,15.4
Iowa,32,3155070,25.7,91,2.2,3.4,5.6,87.1,2.3,51843,27027,12.4
Kansas,50,2913314,30.3,89.8,2.8,6.3,11.4,76.8,4.1,51332,26929,13.7
Kentucky,95,4467673,21.5,83,1.4,8.2,3.4,85.4,2.2,43036,23462,18.8
Louisiana,109,4648794,21.8,82.6,1.8,32.5,4.8,59.3,2.4,44874,24442,19.1
Maine,22,1344212,27.9,91.1,1.2,1.4,1.5,93.8,2.3,48453,26824,13.6
Maryland,79,6045680,36.8,88.7,6.4,30.3,9.3,52.6,3.3,73538,36354,9.8
Massachusetts,35,6892503,39.4,89.4,6.3,8.3,10.8,74.3,2.8,66866,35763,11.4
Michigan,78,9986857,25.9,88.9,2.9,14.2,4.8,75.8,3,48411,25681,16.8
Minnesota,61,5639632,32.6,92.1,4.7,5.9,5.1,81.4,3.7,59836,30913,11.5
Mississippi,65,2976149,20.1,81.5,1,37.5,3,57.3,1.9,39031,20618,22.7
Missouri,141,6137428,26.2,87.6,1.9,11.8,4,80.1,2.7,47380,25649,15.5
Montana,31,1068778,28.7,92.1,0.8,0.6,3.5,86.7,9.3,46230,25373,15.2
Nebraska,24,1934408,28.5,90.5,2.2,4.9,10.2,80.5,3.5,51672,26899,12.8
Nevada,96,3080156,22.4,84.6,8.3,9.1,27.8,51.5,6.3,52800,26589,15
New Hampshire,13,1359711,33.7,91.8,2.5,1.5,3.3,91.3,1.9,64916,33134,8.7
New Jersey,68,8882190,35.8,88.1,9.4,14.8,19.3,56.8,2.8,71629,36027,10.4
New Mexico,106,2096829,25.8,83.6,1.7,2.5,47.7,38.9,13.1,44927,23763,20.4
New York,101,19453561,33.2,85.2,8.5,17.6,18.6,56.5,3.5,58003,32382,15.3
North Carolina,156,10488084,27.3,84.9,2.7,22.1,9,64.1,3.8,46334,25284,17.5
North Dakota,11,762062,27.2,90.9,1.3,2.1,3.2,86.6,7.5,53741,29732,11.9
Ohio,155,11689100,25.2,88.5,2,12.6,3.5,80.1,2.5,48308,26046,15.8
Oklahoma,164,3956971,23.5,86.4,2.1,7.7,9.8,67,15.1,45339,24208,16.9
Oregon,88,4217737,29.7,89.4,4.3,2,12.5,77,5.8,50229,26809,16.2
Pennsylvania,108,12801989,27.5,88.7,3.3,11.6,6.6,77.9,2.2,52548,28502,13.3
Rhode Island,4,1059361,31.3,85.2,3.5,7.7,14,74.5,3.7,56361,30469,13.6
South Carolina,88,5148714,25.1,84.5,1.5,27.8,5.4,63.9,2.3,44779,23943,18.1
South Dakota,17,884659,26.2,90.4,1.3,1.9,3.6,83,11.2,49495,25740,14.1
Tennessee,139,6829174,23.8,84.4,1.7,17.1,5,74.6,2.2,44298,24409,17.6
Texas,481,28995881,26.7,81.2,4.5,12.5,38.6,43.5,2.9,51900,26019,17.6
Utah,60,3205958,30.3,90.9,2.4,1.3,13.5,79.3,4.9,58821,23873,12.7
Vermont,9,623989,34.8,91.4,1.6,1.2,1.8,93.5,2.2,54267,29167,11.8
Virginia,95,8535519,35.2,87.5,6.3,19.7,8.9,63.1,3.4,63907,33493,11.3
Washington,152,7614893,31.9,90,8.2,4.1,12.2,70.4,7.1,59478,30742,13.4
West Virginia,54,1792147,18.3,83.9,0.8,3.6,1.5,92.5,1.8,41043,22966,17.9
Wisconsin,91,5822434,26.8,90.4,2.6,6.6,6.5,82.2,2.9,52413,27523,13
Wyoming,14,578759,24.7,92.4,1,1.6,9.8,84.1,4.8,57406,28902,11.5
